iter	Passed	Remaining
695	18084	7898
696	18109	7872
697	18134	7846
698	18160	7820
699	18186	7794
700	18213	7768
701	18239	7742
702	18267	7717
703	18294	7691
704	18320	7665
705	18346	7639
706	18371	7613
707	18397	7587
708	18422	7561
709	18448	7535
710	18474	7509
711	18499	7482
712	18526	7457
713	18551	7430
714	18576	7404
715	18602	7378
716	18627	7352
717	18653	7326
718	18679	7300
719	18705	7274
720	18731	7248
721	18758	7222
722	18783	7196
723	18808	7170
724	18834	7144
725	18860	7117
726	18885	7091
727	18910	7065
728	18936	7039
729	18961	7013
730	18987	6987
731	19012	6960
732	19038	6935
733	19063	6908
734	19089	6882
735	19114	6856
736	19139	6830
737	19165	6804
738	19190	6777
739	19216	6751
740	19241	6725
741	19267	6699
742	19293	6673
743	19322	6648
744	19348	6622
745	19374	6596
746	19399	6570
747	19424	6544
748	19449	6517
749	19471	6490
750	19497	6464
751	19522	6438
752	19548	6412
753	19573	6386
754	19599	6360
755	19624	6333
756	19655	6309
757	19682	6283
758	19707	6257
759	19733	6231
760	19760	6205
761	19788	6180
762	19816	6155
763	19842	6129
764	19871	6104
765	19900	6079
766	19929	6054
767	19957	6028
768	19988	6004
769	20018	5979
770	20050	5955
771	20083	5931
772	20112	5906
773	20139	5880
774	20167	5854
775	20194	5829
776	20221	5803
777	20250	5778
778	20277	5752
779	20304	5726
780	20331	5701
781	20357	5675
782	20383	5649
783	20409	5622
784	20436	5597
785	20462	5571
786	20488	5545
787	20513	5518
788	20538	5492
789	20565	5466
790	20610	5445
791	20637	5419
792	20668	5395
793	20694	5369
794	20722	5343
795	20749	5317
796	20776	5291
797	20801	5265
798	20827	5239
799	20853	5213
800	20879	5187
801	20904	5161
802	20930	5134
803	20955	5108
804	20980	5082
805	21006	5056
806	21032	5030
807	21058	5003
808	21083	4977
809	21111	4952
810	21136	4925
811	21161	4899
812	21188	4873
813	21213	4847
814	21238	4821
815	21263	4794
816	21288	4768
817	21313	4742
818	21338	4715
819	21363	4689
820	21389	4663
821	21414	4637
822	21439	4611
823	21465	4584
824	21490	4558
825	21515	4532
826	21540	4506
827	21565	4479
828	21586	4452
829	21612	4426
830	21638	4400
831	21666	4374
832	21691	4348
833	21716	4322
834	21740	4296
835	21766	4269
836	21790	4243
837	21820	4218
838	21847	4192
839	21872	4166
840	21900	4140
841	21926	4114
842	21952	4088
843	21980	4062
844	22007	4036
845	22041	4012
846	22070	3986
847	22099	3961
848	22128	3935
849	22156	3910
850	22183	3884
851	22211	3858
852	22237	3832
853	22264	3806
854	22293	3780
855	22320	3754
856	22347	3728
857	22375	3703
858	22401	3677
859	22428	3651
860	22454	3625
861	22482	3599
862	22510	3573
863	22536	3547
864	22562	3521
865	22589	3495
866	22617	3469
867	22648	3444
868	22677	3418
869	22702	3392
870	22730	3366
871	22760	3340
872	22792	3315
873	22826	3290
874	22858	3265
875	22887	3239
876	22915	3213
877	22946	3188
878	22976	3162
879	23005	3137
880	23035	3111
881	23067	3086
882	23098	3060
883	23129	3035
884	23160	3009
885	23192	2984
886	23222	2958
887	23256	2933
888	23288	2907
889	23320	2882
890	23354	2857
891	23386	2831
892	23423	2806
893	23453	2780
894	23484	2755
895	23512	2729
896	23543	2703
897	23572	2677
898	23601	2651
899	23631	2625
900	23661	2599
901	23690	2573
902	23718	2547
903	23747	2521
904	23775	2495
905	23804	2469
906	23833	2443
907	23861	2417
908	23889	2391
909	23921	2365
910	23954	2340
911	23983	2314
912	24012	2288
913	24046	2262
914	24084	2237
915	24118	2211
916	24147	2185
917	24177	2159
918	24205	2133
919	24234	2107
920	24264	2081
921	24291	2055
922	24319	2028
923	24346	2002
924	24372	1976
925	24399	1949
926	24425	1923
927	24452	1897
928	24479	1870
929	24506	1844
930	24531	1818
931	24559	1791
932	24585	1765
933	24613	1739
934	24642	1713
935	24675	1687
936	24711	1661
937	24747	1635
938	24781	1609
939	24812	1583
940	24841	1557
941	24867	1531
942	24895	1504
943	24970	1481
944	25006	1455
945	25034	1429
946	25062	1402
947	25089	1376
948	25116	1349
949	25142	1323
950	25169	1296
951	25195	1270
952	25222	1243
953	25247	1217
954	25274	1190
955	25300	1164
956	25326	1137
957	25353	1111
958	25379	1085
959	25405	1058
960	25430	1032
961	25456	1005
962	25482	979
963	25508	952
964	25534	926
965	25560	899
966	25586	873
967	25635	847
968	25665	821
969	25694	794
970	25727	768
971	25758	742
972	25787	715
973	25813	689
974	25838	662
975	25864	636
976	25891	609
977	25917	583
978	25943	556
979	25969	529
980	25995	503
981	26022	476
982	26052	450
983	26084	424
984	26118	397
985	26153	371
986	26186	344
987	26217	318
988	26245	291
989	26273	265
990	26302	238
991	26332	212
992	26361	185
993	26387	159
994	26416	132
995	26444	106
996	26475	79
997	26509	53
998	26544	26
999	26575	0
